"","ENSG00000000003","ENSG00000000005","ENSG00000000419","ENSG00000000457","ENSG00000000460","ENSG00000000938","ENSG00000000971","ENSG00000001036","ENSG00000001084","ENSG00000001167","ENSG00000001460","ENSG00000001461","ENSG00000001497","ENSG00000001561","ENSG00000001617","ENSG00000001626","ENSG00000001629","ENSG00000001631","ENSG00000002016","ENSG00000002330","ENSG00000002549","ENSG00000002586","ENSG00000002587","ENSG00000002726","ENSG00000002745","ENSG00000002746","ENSG00000002822","ENSG00000002834","ENSG00000002919","ENSG00000002933","ENSG00000003056","ENSG00000003096","ENSG00000003137","ENSG00000003147","ENSG00000003249","ENSG00000003393","ENSG00000003400","ENSG00000003402","ENSG00000003436","ENSG00000003509","ENSG00000003756","ENSG00000003987","ENSG00000003989","ENSG00000004059","ENSG00000004139","ENSG00000004142","ENSG00000004399","ENSG00000004455","ENSG00000004468","ENSG00000004478"
"HDLM2",3.09329660410155,2.64841497906721,8.88082519231573,5.23059402699326,3.82410994060256,3.39263174271803,3.8766780740823,8.8107576184904,6.09150523407251,5.36463519269235,3.98134191600146,7.40235544568517,4.03053573515471,6.13682022991172,3.85515583540405,3.15414471977461,8.29938267908017,3.94473043224411,3.87235391990509,7.40901923525268,7.6690677593064,9.91922723184787,3.11237420562102,3.41257132675259,2.76749464976876,2.73384150088036,4.41184120252573,3.93368435891586,7.03115641215165,3.1975576627014,11.1705568894605,3.24998865979707,2.79437283330371,3.34355828056147,3.21798588144383,3.40032952448651,2.93409890919957,7.92754261425085,4.4740982561372,6.08453283742537,8.12730333696879,3.33965954591325,3.06799329513976,8.24244144270975,5.20806898447658,7.72864152135235,3.29032360258393,6.74509806696188,3.08988136423213,4.94466832983921
"5637",8.66922922666273,3.08104275895548,10.4471702636589,3.83089003709232,3.60621206090517,3.30285071390953,4.84325607922671,8.59059498613902,4.7289835885603,4.88807293009255,3.64554181729026,6.66546144452662,4.4523123254042,4.03717666628772,4.1411151025641,3.02093426959497,8.72850726459684,3.39734982057838,3.32006407781736,8.02864082737296,5.18829656015212,8.62828369156268,5.99313926885857,3.24872486417958,2.87863118112221,2.71979021045947,6.34965988885895,4.84793351724426,5.95892992161615,3.02639280673965,9.00964366604276,3.92597066676673,2.97108156803447,3.58764075403727,3.39196983831716,3.64667243721876,3.2381474050723,5.27005628440763,7.86765560349412,5.20498507814392,7.621121210141,3.45679993224736,3.75521060175297,9.63044752275927,3.06674060502797,8.0718056459678,4.76032228138258,6.50070253879358,2.75612928350727,4.3016024792734
"786O",6.60751697085518,2.70690478527465,9.77137255038429,3.6280892321655,3.06767838190878,3.07391648895323,6.37381750782634,8.66010299963477,5.02341506714587,5.49672891053602,4.4476031942474,6.63131144631402,4.25612419239054,3.42860063883649,5.79890528321591,3.46529014251422,8.37443142220233,3.3045326753955,3.51072492049273,7.02691656177323,5.84785873515129,10.0818502601295,3.40752819822697,3.70531376950424,2.89180293549324,2.85135131333891,7.83481855045931,4.59275186170144,5.36173894134497,2.92439423191972,9.36137759479109,3.77617745205005,2.98896915705995,3.30193040361362,3.73010049415409,3.70212740540291,3.14943707423613,5.44348520211475,9.5030323960157,5.20624504521593,9.06305635290278,3.45968632354053,3.9321513331032,9.70111962425841,3.55516845876179,7.93160802049557,4.57336134927597,6.76140571890689,2.96646030791594,4.80294222356146
"HMVII",6.60163509693455,2.98187269149656,9.91280762209977,4.72454930961831,3.29187237768048,3.20927008090336,3.52444655069772,7.65509833543358,5.36055218407583,5.29827264102627,4.70623758314216,6.08311553382312,4.16185764712073,3.43525546488805,3.7640375519945,3.24899344332717,7.97740237846838,3.03606957331544,3.64459506441088,6.62150657243854,6.43778705106341,8.45065046317217,3.01839925858201,3.07080815660293,2.92178157759976,2.61343278684221,8.25295659203339,3.70201017796956,5.73813341153979,2.75511859873369,9.88705095622617,4.14065237914236,3.54045655555461,5.81515685463116,4.44172606864702,4.02942693046536,2.88972643679752,4.89173655837862,4.05509169272823,6.91866245740998,8.08144172726936,3.23870699074791,4.85357876320415,8.39912920785355,3.7883159422265,7.9560326568982,5.06462730510736,7.47977143792841,2.93730925772475,4.83107805126195
"M14",7.5738362849026,2.88203015392052,10.4053302998589,3.89942584287242,4.39324160045949,3.35223504614006,2.89991079331649,7.20968165614123,5.70501137921286,5.65940123135071,4.59317894403731,7.8443808527639,4.5401128104255,3.33450200779871,3.59127692859316,3.1093939165254,8.35676094714658,3.89897145278216,3.19996552543422,6.14868826002853,7.22020442993112,9.32063332504944,3.2048605297983,3.1784861474947,2.82218420253919,2.67564496844106,9.50542386699196,4.54666158069423,5.27059075762939,2.93711843997433,9.72568739158853,3.1761842523134,3.23849304521628,4.39013985114248,3.86799752686537,3.80117356485889,2.82371648739474,4.85847904405153,3.48532961990588,6.20081605546978,7.59998903691076,3.37737047579627,3.7669647125899,8.75065378713808,4.00094948296086,7.4612646875956,3.16522723021909,7.37881606099592,2.98294578614004,4.70030518940557
"HT29",7.35441605283871,2.9042344707934,10.404939622316,4.82591268943616,3.2765440179491,3.15767914863655,5.94464172958461,8.04782719221388,6.30633150891417,5.1287182582551,3.92801797771858,7.58249807484286,4.01788129036727,5.44480435971787,4.42563069971455,9.04105170974094,8.85386782640528,3.65363644325291,3.32309819974223,6.83207279447934,6.49828941691903,3.99237328872926,6.98289012478569,5.16372678633043,2.83578314359922,2.70201234529548,5.39493307807641,5.12674303170403,5.07649457533401,3.29539025687873,8.74891482961839,3.4875813033311,2.95521298504393,8.03751127911068,3.85126461476554,3.8209000764332,3.22709653651794,5.62378544423561,10.2778464547001,6.23533135644921,7.53958019781422,3.33256685046546,4.93527065348468,8.88212097136011,3.66492361646447,7.13185997303676,6.43899393320599,6.57523079755855,3.15188348329935,4.42203755455518
"AU565",6.2714007339445,2.73206066013843,10.3327329637715,6.07477213302281,3.4959587578206,3.26311967587734,3.23152233550183,8.38546965486664,6.17933056093849,4.15875713235355,3.49351053041741,7.5107589056525,4.13662684133156,3.71892403540685,5.83929939425488,3.33138623339762,9.23547253777351,4.02406266066667,3.58303379269078,7.50088388566571,6.22154034176129,6.24473483221146,3.05878255040935,4.69636265983265,2.80145146585255,2.73679664753463,5.4582425077826,3.61375434981989,4.02879209192383,5.29327871493081,9.46873237549597,3.89319416037088,2.86616998458451,4.04781591524128,3.64592267442653,3.51477134720292,2.94513523285884,5.7890219263736,3.60513844498879,5.70262499554521,8.07726468340719,3.37369429313932,5.05097085479825,10.0044041925759,3.21136204644633,8.68648751747672,5.56180828994677,5.92830950073047,3.2875711194232,5.80425590172184
"NCIH441",8.6667592962079,3.07268858047106,10.1681691835798,4.96341355257063,3.65671798922618,2.99072622707997,7.44861286266166,7.4963391252614,6.53650282510081,5.73565283412267,3.53956766207286,8.25089724598107,4.34033509129262,6.9024519834618,3.74285764135005,3.29769910871321,8.84778798831423,3.94614135920003,3.86933493765397,6.55934209304094,6.40678829069396,8.65765588905795,5.65976595940192,3.62202855239558,2.79542664336986,2.71770201200428,4.75738461988543,4.61308367151898,4.27820356796835,2.91578498630571,8.95478501006897,2.85350001823853,3.45713138623745,6.2873201255346,4.10784719581083,3.68500637453281,3.24372742056815,7.4992356957597,9.40250124427341,5.71317784040175,7.65296929939672,3.06430015975382,2.99657941496489,9.03143604345036,3.75227650888751,8.17665034904633,6.26486770985234,6.49401257238734,2.98551903228851,3.93552934413055
"SW1088",6.9137759047483,2.84695605672777,9.90460281034928,3.53573525515239,3.54315920755739,3.28555422830781,6.66423927553321,8.64586486637482,5.8285423347677,4.78836838510766,3.61507709510503,6.7494301917754,4.15323077066097,3.27061904655628,4.0416344438479,3.03982758988981,8.67422555502443,3.79723266296058,3.56351846755142,7.28752679034026,6.88390957684503,9.8369298742647,2.95317474004399,3.62823620262804,4.02055929903723,3.15138706586077,5.54479071009445,4.80100748317409,4.89539538616291,4.70442582760231,9.34013082528993,4.96291716435431,2.98880374166066,3.03385822816609,3.46200852380995,4.05641102438807,2.9877228492387,4.95168704458822,10.0788162481971,5.48921704987573,7.84400468881894,3.19201977107739,3.11003222327748,9.12019072223118,3.82604439632774,7.52742837825642,6.30437000974488,5.88023764901065,3.05751699809972,4.690214869253
"ISTMES1",6.66609696623414,2.67457257157581,9.94717005429152,3.41802280349479,3.01276227235412,3.15044742505028,9.07930345521286,7.534917885045,4.57240692825094,5.19217714866863,3.4805125826936,6.20282145945104,4.27442005357544,4.25651094450579,4.06853933473877,2.85701275522374,8.54788759730128,4.16502205056364,3.55223675274554,6.6768049125088,6.51785876277103,9.29695213806721,3.01387692317057,3.14025267636951,2.87718405395868,2.77132756931574,4.82115464117094,4.68034855276529,4.83021933129171,3.0876223903839,8.97470772170646,3.36989027621464,3.81479826911696,3.64414546982324,3.9061131031751,4.03321454132294,3.01169931216197,6.79120261625548,3.28128438826698,6.09428428602289,7.88320534311091,3.2672861125044,5.26480148515455,9.06400934341747,7.66133400297822,7.86394906645327,5.14573083285414,5.79542646329007,6.57389041111303,4.46738415151912
